DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
2437;;101 mm;480x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2438;;114 mm;720x1080;Color IPS TFT LCD display;24 bit/pixel;Yes;
2439;;39 mm;240x240;Color IPS TFT LCD display;24 bit/pixel;Yes;
2440;;246.38 mm;1536x2048;Color IPS TFT LCD display;24 bit/pixel;Yes;
2441;;150 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2442;;33.5 mm;320x300;Color TN-TFT LCD display;24 bit/pixel;Yes;
2443;;246 mm;1536x2048;Color IPS TFT LCD display;24 bit/pixel;LED;
2444;;144.7 mm;1440x2880;Color IPS TFT LCD display;24 bit/pixel;LED;
2445;;152.1 mm;1080x2160;Color PVA TFT LCD display;24 bit/pixel;LED;
2446;;139 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2447;;61 mm;320x240;Color TN-TFT LCD display;24 bit/pixel;Yes;
2448;;88.9 mm;320x480;Color TN-TFT LCD display;18 bit/pixel;Yes;
2449;;133.9 mm;1440x2560;Color IPS TFT LCD display;24 bit/pixel;LED;
2450;;152 mm;1080x2160;Color TN-TFT LCD display;24 bit/pixel;Yes;
2451;;127 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Yes;
2452;;139 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2453;;178 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2454;;35.56 mm;400x400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2455;;139.7 mm;1440x2560;Color PVA TFT LCD display;24 bit/pixel;LED;
2456;;152.4 mm;720x1528;Color IPS TFT LCD display;24 bit/pixel;Yes;
2457;;32.5 mm;176x176;Yes;24 bit/pixel;Yes;
2458;;274.32 mm;1600x2560;Color IPS TFT LCD display;24 bit/pixel;Yes;
2459;;213.36 mm;1600x2560;Color IPS TFT LCD display;24 bit/pixel;Yes;
